risk0,Mean.Pumps.risk0,Mean.time.risk0,risk1,Mean.Pumps.risk1,Mean.time.risk1,risk2,Mean.Pumps.risk2,Mean.time.risk2
0,3.8,1.916363261,1,4.8,2.382728842,2,1.6,8.407263616
0,4.8,2.97430032,1,8.2,2.776161337,2,3.6,2.672621114
0,6,2.425789525,1,8.2,3.606559569,2,5,2.917981024
0,4,2.495891651,1,2.8,2.851960301,2,9.4,2.091971917
0,2.4,2.654937199,1,6,2.252899429,2,1.8,2.664281093
0,5,2.434971614,1,3,4.169394517,2,10,2.416489879
0,7.4,3.131738773,1,3.6,2.852607468,2,8.4,2.519104424
0,3.4,2.557002658,1,3.8,2.372261918,2,5.4,2.988352092
0,5.4,2.235545246,1,7.4,3.381536305,2,7,2.987502581
0,10.2,2.280387909,1,8,2.223222455,2,7.2,2.751821917
0,6.8,2.733400961,1,6.4,2.87765601,2,4.8,3.120409639
0,4,2.361878157,1,2.8,3.366962194,2,9.8,2.743151546
0,3.4,3.207670463,1,3.4,3.352855837,2,3,2.748204337
,,,1,7,2.605360795,2,7.4,2.833260053
,,,1,7.6,2.093746162,2,3,3.963277618
,,,1,7.2,2.467799975,,,
